Date,Collection Time,Moon,Time,BP3,OC,People_total,Pple_msq,Tide,PreTide,PostTide
20220713,,Hoku,12.00,35.66706859,192.6996377,56,0.006948295992,0.67773,-0.41,2.73
20220713,,Hoku,12.00,33.14011183,271.8114127,56,0.006948295992,0.67773,-0.41,2.73
20220713,,Hoku,12.00,31.95926699,134.0192916,56,0.006948295992,0.67773,-0.41,2.73
20220713,,Hoku,13.00,,,31,0.003846378139,1.32731,-0.41,2.73
20220713,,Hoku,14.00,,,55,0.006824219278,1.954543,-0.41,2.73
20220713,,Hoku,15.00,,,57,0.007072372707,2.442883,-0.41,2.73
20220713,,Hoku,16.00,230.2387819,991.300288,77,0.00955390699,2.70109,-0.41,2.73
20220713,,Hoku,16.00,236.8925472,534.5771927,77,0.00955390699,2.70109,-0.41,2.73
20220713,,Hoku,16.00,224.3175561,957.1648447,77,0.00955390699,2.70109,-0.41,2.73
20220713,,Hoku,17.00,,,72,0.008933523419,2.684185,2.73,0.02
20220713,,Hoku,18.00,,,50,0.006203835708,2.403535,2.73,0.02
20220713,,Hoku,19.00,,,27,0.003350071282,1.923601,2.73,0.02
20220713,,Hoku,20.00,37.895046,144.0490578,4,0.0004963068566,1.346189,2.73,0.02
20220713,,Hoku,20.00,33.91414893,99.23877053,4,0.0004963068566,1.346189,2.73,0.02
20220713,,Hoku,20.00,37.5453101,91.76915879,4,0.0004963068566,1.346189,2.73,0.02
20220713,,Hoku,24.00,33.81674151,68.02412647,,,0.023125,0.02,0.61
20220713,,Hoku,24.00,31.88695112,70.38203036,,,0.023125,0.02,0.61
20220713,,Hoku,24.00,33.86925512,68.40330444,,,0.023125,0.02,0.61
